ccode,year,name,spend_group,hc,exp
AGO,2023,Benguela,"[0,12)",720867,848613685
AGO,2023,Benguela,"[12,40)",83507,537834800
AGO,2023,Benguela,"[40,80)",6272,120037185
AGO,2023,Benguela,"[80,120)",1168,40656620
AGO,2023,Benguela,"[120,Inf)",1040,101893035
AGO,2023,Cabinda,"[0,12)",641446,976581590
AGO,2023,Cabinda,"[12,40)",228017,1596729000
AGO,2023,Cabinda,"[40,80)",26852,513132695
AGO,2023,Cabinda,"[80,120)",4969,172195320
AGO,2023,Cabinda,"[120,Inf)",4212,403333760
AGO,2023,Cuito,"[0,12)",621786,424771670
AGO,2023,Cuito,"[12,40)",13629,85623890
AGO,2023,Cuito,"[40,80)",984,18715375
AGO,2023,Cuito,"[80,120)",216,7623025
AGO,2023,Cuito,"[120,Inf)",157,16565525
AGO,2023,Huambo,"[0,12)",626822,795549985
AGO,2023,Huambo,"[12,40)",97590,637284525
AGO,2023,Huambo,"[40,80)",7810,149021470
AGO,2023,Huambo,"[80,120)",1454,50302840
AGO,2023,Huambo,"[120,Inf)",1291,124973810
AGO,2023,Lobito,"[0,12)",292104,479407425
AGO,2023,Lobito,"[12,40)",149331,1096502340
AGO,2023,Lobito,"[40,80)",24032,461190640
AGO,2023,Lobito,"[80,120)",4610,159969645
AGO,2023,Lobito,"[120,Inf)",3793,360653580
AGO,2023,Luanda,"[0,12)",8284521,9769398740
AGO,2023,Luanda,"[12,40)",965993,6223504405
AGO,2023,Luanda,"[40,80)",72523,1387742410
AGO,2023,Luanda,"[80,120)",13582,472560755
AGO,2023,Luanda,"[120,Inf)",12038,1179144910
AGO,2023,Lubango,"[0,12)",697624,1044217550
AGO,2023,Lubango,"[12,40)",228267,1583501400
AGO,2023,Lubango,"[40,80)",25442,486245700
AGO,2023,Lubango,"[80,120)",4680,162586695
AGO,2023,Lubango,"[120,Inf)",3970,382094410
AGO,2023,Malanje,"[0,12)",734088,716609610
AGO,2023,Malanje,"[12,40)",44515,281752625
AGO,2023,Malanje,"[40,80)",3143,60146160
AGO,2023,Malanje,"[80,120)",604,21028745
AGO,2023,Malanje,"[120,Inf)",538,53132685
AGO,2023,Residual_AGO,"[0,12)",14567215,21611857320
AGO,2023,Residual_AGO,"[12,40)",4566264,31531964925
AGO,2023,Residual_AGO,"[40,80)",494471,9446913210
AGO,2023,Residual_AGO,"[80,120)",91049,3158163230
AGO,2023,Residual_AGO,"[120,Inf)",77649,7466192895
AGO,2023,Uige,"[0,12)",616253,424860
AGO,2023,Uige,"[12,40)",0,365
AGO,2023,Uige,"[40,80)",0,0
AGO,2023,Uige,"[80,120)",0,0
AGO,2023,Uige,"[120,Inf)",0,0
AGO,2030,Benguela,"[0,12)",943614,1114537720
AGO,2030,Benguela,"[12,40)",110640,712512485
AGO,2030,Benguela,"[40,80)",8373,159869270
AGO,2030,Benguela,"[80,120)",1565,54420770
AGO,2030,Benguela,"[120,Inf)",1380,135181035
AGO,2030,Cabinda,"[0,12)",861852,1307566145
AGO,2030,Cabinda,"[12,40)",301149,2104468455
AGO,2030,Cabinda,"[40,80)",35067,669885230
AGO,2030,Cabinda,"[80,120)",6478,224364040
AGO,2030,Cabinda,"[120,Inf)",5505,527065110
AGO,2030,Cuito,"[0,12)",845885,565114535
AGO,2030,Cuito,"[12,40)",17502,110144955
AGO,2030,Cuito,"[40,80)",1273,24540775
AGO,2030,Cuito,"[80,120)",256,9231580
AGO,2030,Cuito,"[120,Inf)",200,21255045
AGO,2030,Huambo,"[0,12)",788269,1016599095
AGO,2030,Huambo,"[12,40)",131140,859669170
AGO,2030,Huambo,"[40,80)",10697,204153625
AGO,2030,Huambo,"[80,120)",2010,69805155
AGO,2030,Huambo,"[120,Inf)",1731,168969815
AGO,2030,Lobito,"[0,12)",371028,612701045
AGO,2030,Lobito,"[12,40)",195175,1439079295
AGO,2030,Lobito,"[40,80)",32334,620734330
AGO,2030,Lobito,"[80,120)",6239,216331120
AGO,2030,Lobito,"[120,Inf)",5132,487032275
AGO,2030,Luanda,"[0,12)",10708411,12733371020
AGO,2030,Luanda,"[12,40)",1288219,8306272880
AGO,2030,Luanda,"[40,80)",97828,1869525620
AGO,2030,Luanda,"[80,120)",18254,635773790
AGO,2030,Luanda,"[120,Inf)",16052,1575400590
AGO,2030,Lubango,"[0,12)",932364,1391980790
AGO,2030,Lubango,"[12,40)",301297,2087420035
AGO,2030,Lubango,"[40,80)",33275,635931835
AGO,2030,Lubango,"[80,120)",6128,212699370
AGO,2030,Lubango,"[120,Inf)",5207,500926730
AGO,2030,Malanje,"[0,12)",991839,955763815
AGO,2030,Malanje,"[12,40)",57739,365388360
AGO,2030,Malanje,"[40,80)",4048,77538045
AGO,2030,Malanje,"[80,120)",801,27995500
AGO,2030,Malanje,"[120,Inf)",682,68298070
AGO,2030,Residual_AGO,"[0,12)",14613930,22869384885
AGO,2030,Residual_AGO,"[12,40)",5943327,42306214870
AGO,2030,Residual_AGO,"[40,80)",775769,14838511075
AGO,2030,Residual_AGO,"[80,120)",145021,5026804455
AGO,2030,Residual_AGO,"[120,Inf)",121312,11593925700
AGO,2030,Uige,"[0,12)",846615,561005
AGO,2030,Uige,"[12,40)",0,0
AGO,2030,Uige,"[40,80)",0,365
AGO,2030,Uige,"[80,120)",0,0
AGO,2030,Uige,"[120,Inf)",0,0
COD,2023,Bukavu,"[0,12)",1252848,135586550
COD,2023,Bukavu,"[12,40)",9,55845
COD,2023,Bukavu,"[40,80)",0,5475
COD,2023,Bukavu,"[80,120)",0,2190
COD,2023,Bukavu,"[120,Inf)",0,365
COD,2023,Bunia,"[0,12)",811972,103344275
COD,2023,Bunia,"[12,40)",6,42705
COD,2023,Bunia,"[40,80)",0,4380
COD,2023,Bunia,"[80,120)",0,0
COD,2023,Bunia,"[120,Inf)",0,1825
COD,2023,Goma,"[0,12)",745500,162094675
COD,2023,Goma,"[12,40)",89,424495
COD,2023,Goma,"[40,80)",2,30660
COD,2023,Goma,"[80,120)",0,4015
COD,2023,Goma,"[120,Inf)",0,5840
COD,2023,Kabinda,"[0,12)",570294,547500
COD,2023,Kabinda,"[12,40)",0,0
COD,2023,Kabinda,"[40,80)",0,0
COD,2023,Kabinda,"[80,120)",0,0
COD,2023,Kabinda,"[120,Inf)",0,0
COD,2023,Kananga,"[0,12)",1672811,8728610
COD,2023,Kananga,"[12,40)",0,0
COD,2023,Kananga,"[40,80)",0,0
COD,2023,Kananga,"[80,120)",0,0
COD,2023,Kananga,"[120,Inf)",0,0
COD,2023,Kikwit,"[0,12)",572100,2123570
COD,2023,Kikwit,"[12,40)",0,0
COD,2023,Kikwit,"[40,80)",0,0
COD,2023,Kikwit,"[80,120)",0,0
COD,2023,Kikwit,"[120,Inf)",0,0
COD,2023,Kinshasa,"[0,12)",16400228,5466045455
COD,2023,Kinshasa,"[12,40)",3720,21129850
COD,2023,Kinshasa,"[40,80)",108,2261175
COD,2023,Kinshasa,"[80,120)",0,0
COD,2023,Kinshasa,"[120,Inf)",4,329960
COD,2023,Kisangani,"[0,12)",1432416,255401815
COD,2023,Kisangani,"[12,40)",119,520490
COD,2023,Kisangani,"[40,80)",3,54385
COD,2023,Kisangani,"[80,120)",0,4380
COD,2023,Kisangani,"[120,Inf)",0,4745
COD,2023,Kolwezi,"[0,12)",523336,638065625
COD,2023,Kolwezi,"[12,40)",7420,40971980
COD,2023,Kolwezi,"[40,80)",100,1726450
COD,2023,Kolwezi,"[80,120)",37,1143545
COD,2023,Kolwezi,"[120,Inf)",4,322295
COD,2023,Likasi,"[0,12)",631428,443665165
COD,2023,Likasi,"[12,40)",1252,6980260
COD,2023,Likasi,"[40,80)",46,765770
COD,2023,Likasi,"[80,120)",2,100740
COD,2023,Likasi,"[120,Inf)",2,112420
COD,2023,Lubumbashi,"[0,12)",2821787,2035641865
COD,2023,Lubumbashi,"[12,40)",6103,34153415
COD,2023,Lubumbashi,"[40,80)",200,3474070
COD,2023,Lubumbashi,"[80,120)",12,462090
COD,2023,Lubumbashi,"[120,Inf)",7,516840
COD,2023,Matadi,"[0,12)",432723,418260070
COD,2023,Matadi,"[12,40)",2553,14196310
COD,2023,Matadi,"[40,80)",59,1084780
COD,2023,Matadi,"[80,120)",6,234330
COD,2023,Matadi,"[120,Inf)",1,108040
COD,2023,Mbandaka,"[0,12)",498182,13961615
COD,2023,Mbandaka,"[12,40)",0,730
COD,2023,Mbandaka,"[40,80)",0,0
COD,2023,Mbandaka,"[80,120)",0,0
COD,2023,Mbandaka,"[120,Inf)",0,365
COD,2023,Mbuji-Mayi,"[0,12)",2905108,88301165
COD,2023,Mbuji-Mayi,"[12,40)",1,5110
COD,2023,Mbuji-Mayi,"[40,80)",0,0
COD,2023,Mbuji-Mayi,"[80,120)",0,365
COD,2023,Mbuji-Mayi,"[120,Inf)",0,0
COD,2023,Residual_COD,"[0,12)",62204972,67972779445
COD,2023,Residual_COD,"[12,40)",578044,3192175390
COD,2023,Residual_COD,"[40,80)",12664,238482605
COD,2023,Residual_COD,"[80,120)",552,22674895
COD,2023,Residual_COD,"[120,Inf)",429,33724905
COD,2023,Tshikapa,"[0,12)",1079228,26194225
COD,2023,Tshikapa,"[12,40)",0,730
COD,2023,Tshikapa,"[40,80)",0,0
COD,2023,Tshikapa,"[80,120)",0,0
COD,2023,Tshikapa,"[120,Inf)",0,0
COD,2023,Uvira,"[0,12)",692407,25034620
COD,2023,Uvira,"[12,40)",0,1460
COD,2023,Uvira,"[40,80)",0,0
COD,2023,Uvira,"[80,120)",0,0
COD,2023,Uvira,"[120,Inf)",0,0
COD,2030,Bukavu,"[0,12)",1695180,212236185
COD,2030,Bukavu,"[12,40)",12,87600
COD,2030,Bukavu,"[40,80)",0,8395
COD,2030,Bukavu,"[80,120)",0,0
COD,2030,Bukavu,"[120,Inf)",0,4015
COD,2030,Bunia,"[0,12)",1122710,161716900
COD,2030,Bunia,"[12,40)",18,117895
COD,2030,Bunia,"[40,80)",0,4015
COD,2030,Bunia,"[80,120)",0,2555
COD,2030,Bunia,"[120,Inf)",0,3285
COD,2030,Goma,"[0,12)",1017887,253914805
COD,2030,Goma,"[12,40)",76,480340
COD,2030,Goma,"[40,80)",2,48180
COD,2030,Goma,"[80,120)",0,6205
COD,2030,Goma,"[120,Inf)",0,9125
COD,2030,Kabinda,"[0,12)",803286,857020
COD,2030,Kabinda,"[12,40)",0,0
COD,2030,Kabinda,"[40,80)",0,0
COD,2030,Kabinda,"[80,120)",0,0
COD,2030,Kabinda,"[120,Inf)",0,0
COD,2030,Kananga,"[0,12)",2239861,13665235
COD,2030,Kananga,"[12,40)",0,0
COD,2030,Kananga,"[40,80)",0,0
COD,2030,Kananga,"[80,120)",0,0
COD,2030,Kananga,"[120,Inf)",0,0
COD,2030,Kikwit,"[0,12)",755386,3324420
COD,2030,Kikwit,"[12,40)",0,0
COD,2030,Kikwit,"[40,80)",0,0
COD,2030,Kikwit,"[80,120)",0,0
COD,2030,Kikwit,"[120,Inf)",0,0
COD,2030,Kinshasa,"[0,12)",21907337,8547948505
COD,2030,Kinshasa,"[12,40)",6855,41288800
COD,2030,Kinshasa,"[40,80)",96,1913695
COD,2030,Kinshasa,"[80,120)",49,1625710
COD,2030,Kinshasa,"[120,Inf)",5,516110
COD,2030,Kisangani,"[0,12)",1902768,399765885
COD,2030,Kisangani,"[12,40)",163,835485
COD,2030,Kisangani,"[40,80)",5,75920
COD,2030,Kisangani,"[80,120)",0,9490
COD,2030,Kisangani,"[120,Inf)",0,14600
COD,2030,Kolwezi,"[0,12)",652596,953296050
COD,2030,Kolwezi,"[12,40)",19519,106745710
COD,2030,Kolwezi,"[40,80)",310,5580850
COD,2030,Kolwezi,"[80,120)",41,1448320
COD,2030,Kolwezi,"[120,Inf)",11,842785
COD,2030,Likasi,"[0,12)",824395,688673240
COD,2030,Likasi,"[12,40)",2969,16729410
COD,2030,Likasi,"[40,80)",59,1203405
COD,2030,Likasi,"[80,120)",4,157315
COD,2030,Likasi,"[120,Inf)",2,176295
COD,2030,Lubumbashi,"[0,12)",3757056,3161546050
COD,2030,Lubumbashi,"[12,40)",13884,78217675
COD,2030,Lubumbashi,"[40,80)",275,5580120
COD,2030,Lubumbashi,"[80,120)",17,723430
COD,2030,Lubumbashi,"[120,Inf)",9,809205
COD,2030,Matadi,"[0,12)",564289,642416790
COD,2030,Matadi,"[12,40)",6130,33921275
COD,2030,Matadi,"[40,80)",117,2295850
COD,2030,Matadi,"[80,120)",5,215350
COD,2030,Matadi,"[120,Inf)",4,320835
COD,2030,Mbandaka,"[0,12)",656457,21854740
COD,2030,Mbandaka,"[12,40)",0,1095
COD,2030,Mbandaka,"[40,80)",0,365
COD,2030,Mbandaka,"[80,120)",0,0
COD,2030,Mbandaka,"[120,Inf)",0,0
COD,2030,Mbuji-Mayi,"[0,12)",3899110,138222945
COD,2030,Mbuji-Mayi,"[12,40)",1,7665
COD,2030,Mbuji-Mayi,"[40,80)",0,365
COD,2030,Mbuji-Mayi,"[80,120)",0,0
COD,2030,Mbuji-Mayi,"[120,Inf)",0,365
COD,2030,Residual_COD,"[0,12)",67107917,99363644130
COD,2030,Residual_COD,"[12,40)",2131038,11663352715
COD,2030,Residual_COD,"[40,80)",32449,591850785
COD,2030,Residual_COD,"[80,120)",4238,150877130
COD,2030,Residual_COD,"[120,Inf)",1082,88284010
COD,2030,Tshikapa,"[0,12)",1471978,41000815
COD,2030,Tshikapa,"[12,40)",0,2555
COD,2030,Tshikapa,"[40,80)",0,0
COD,2030,Tshikapa,"[80,120)",0,0
COD,2030,Tshikapa,"[120,Inf)",0,0
COD,2030,Uvira,"[0,12)",944387,39187860
COD,2030,Uvira,"[12,40)",0,1460
COD,2030,Uvira,"[40,80)",0,730
COD,2030,Uvira,"[80,120)",0,0
COD,2030,Uvira,"[120,Inf)",0,0
ETH,2023,Addis Ababa,"[0,12)",4887107,9408201675
ETH,2023,Addis Ababa,"[12,40)",590590,3325452220
ETH,2023,Addis Ababa,"[40,80)",11685,217090320
ETH,2023,Addis Ababa,"[80,120)",1247,42713030
ETH,2023,Addis Ababa,"[120,Inf)",858,61954370
ETH,2023,Dire Dawa,"[0,12)",454404,632261030
ETH,2023,Dire Dawa,"[12,40)",12725,71639280
ETH,2023,Dire Dawa,"[40,80)",297,5394335
ETH,2023,Dire Dawa,"[80,120)",37,1136610
ETH,2023,Dire Dawa,"[120,Inf)",36,2245115
ETH,2023,Gondar,"[0,12)",412159,382292970
ETH,2023,Gondar,"[12,40)",2815,16220235
ETH,2023,Gondar,"[40,80)",66,1164350
ETH,2023,Gondar,"[80,120)",26,757010
ETH,2023,Gondar,"[120,Inf)",6,504795
ETH,2023,Mekele,"[0,12)",544013,979347925
ETH,2023,Mekele,"[12,40)",46787,262509460
ETH,2023,Mekele,"[40,80)",941,17735715
ETH,2023,Mekele,"[80,120)",109,4013175
ETH,2023,Mekele,"[120,Inf)",52,4312475
ETH,2023,Nazret,"[0,12)",394122,721062610
ETH,2023,Nazret,"[12,40)",36708,206080460
ETH,2023,Nazret,"[40,80)",719,13376885
ETH,2023,Nazret,"[80,120)",99,3537945
ETH,2023,Nazret,"[120,Inf)",41,3357270
ETH,2023,Residual_ETH,"[0,12)",108269923,172936286425
ETH,2023,Residual_ETH,"[12,40)",5355711,30024471125
ETH,2023,Residual_ETH,"[40,80)",113068,2071525015
ETH,2023,Residual_ETH,"[80,120)",17009,565441575
ETH,2023,Residual_ETH,"[120,Inf)",8779,650242755
ETH,2030,Addis Ababa,"[0,12)",6090792,12862763155
ETH,2030,Addis Ababa,"[12,40)",1232536,7043533845
ETH,2030,Addis Ababa,"[40,80)",24423,449968350
ETH,2030,Addis Ababa,"[80,120)",2877,97721450
ETH,2030,Addis Ababa,"[120,Inf)",1641,120183550
ETH,2030,Dire Dawa,"[0,12)",596633,945530310
ETH,2030,Dire Dawa,"[12,40)",28548,160191200
ETH,2030,Dire Dawa,"[40,80)",592,10935035
ETH,2030,Dire Dawa,"[80,120)",88,2920000
ETH,2030,Dire Dawa,"[120,Inf)",48,3538310
ETH,2030,Gondar,"[0,12)",549430,592040585
ETH,2030,Gondar,"[12,40)",6103,34850565
ETH,2030,Gondar,"[40,80)",162,2967815
ETH,2030,Gondar,"[80,120)",34,1190630
ETH,2030,Gondar,"[120,Inf)",9,794970
ETH,2030,Mekele,"[0,12)",678568,1361816460
ETH,2030,Mekele,"[12,40)",102656,580951885
ETH,2030,Mekele,"[40,80)",2040,38041760
ETH,2030,Mekele,"[80,120)",221,7834360
ETH,2030,Mekele,"[120,Inf)",122,9481970
ETH,2030,Nazret,"[0,12)",496188,1004402620
ETH,2030,Nazret,"[12,40)",78736,446161400
ETH,2030,Nazret,"[40,80)",1541,28404665
ETH,2030,Nazret,"[80,120)",201,6987925
ETH,2030,Nazret,"[120,Inf)",90,7085380
ETH,2030,Residual_ETH,"[0,12)",113579422,225289204405
ETH,2030,Residual_ETH,"[12,40)",16112538,91032762950
ETH,2030,Residual_ETH,"[40,80)",317488,5889735265
ETH,2030,Residual_ETH,"[80,120)",36581,1274406625
ETH,2030,Residual_ETH,"[120,Inf)",20323,1542420650
KEN,2023,Eldoret,"[0,12)",406077,462840805
KEN,2023,Eldoret,"[12,40)",38453,244030605
KEN,2023,Eldoret,"[40,80)",2582,49359315
KEN,2023,Eldoret,"[80,120)",470,16390690
KEN,2023,Eldoret,"[120,Inf)",392,37325265
KEN,2023,Kisumu,"[0,12)",348569,425444000
KEN,2023,Kisumu,"[12,40)",42769,274001850
KEN,2023,Kisumu,"[40,80)",2996,57159365
KEN,2023,Kisumu,"[80,120)",541,18846410
KEN,2023,Kisumu,"[120,Inf)",449,42484905
KEN,2023,Mombasa,"[0,12)",952378,1546844450
KEN,2023,Mombasa,"[12,40)",424251,3039130525
KEN,2023,Mombasa,"[40,80)",55865,1065883220
KEN,2023,Mombasa,"[80,120)",10032,347331445
KEN,2023,Mombasa,"[120,Inf)",7943,728783090
KEN,2023,Nairobi,"[0,12)",3837412,5916502540
KEN,2023,Nairobi,"[12,40)",1328251,9216949340
KEN,2023,Nairobi,"[40,80)",142965,2723790235
KEN,2023,Nairobi,"[80,120)",25162,872011645
KEN,2023,Nairobi,"[120,Inf)",20356,1879475155
KEN,2023,Nakuru,"[0,12)",294179,463947850
KEN,2023,Nakuru,"[12,40)",113687,799479210
KEN,2023,Nakuru,"[40,80)",13275,253041360
KEN,2023,Nakuru,"[80,120)",2349,81297545
KEN,2023,Nakuru,"[120,Inf)",1892,173971775
KEN,2023,Residual_KEN,"[0,12)",31283531,48227279910
KEN,2023,Residual_KEN,"[12,40)",10822212,75092235115
KEN,2023,Residual_KEN,"[40,80)",1164365,22183367385
KEN,2023,Residual_KEN,"[80,120)",204943,7102475870
KEN,2023,Residual_KEN,"[120,Inf)",165796,15307993785
KEN,2023,Ruiru,"[0,12)",302749,482998660
KEN,2023,Ruiru,"[12,40)",123732,876370840
KEN,2023,Ruiru,"[40,80)",15109,288115670
KEN,2023,Ruiru,"[80,120)",2693,93256040
KEN,2023,Ruiru,"[120,Inf)",2147,197457335
KEN,2030,Eldoret,"[0,12)",525558,629114730
KEN,2030,Eldoret,"[12,40)",59784,381692910
KEN,2030,Eldoret,"[40,80)",4143,78952785
KEN,2030,Eldoret,"[80,120)",729,25200695
KEN,2030,Eldoret,"[120,Inf)",644,59878980
KEN,2030,Kisumu,"[0,12)",439614,564988245
KEN,2030,Kisumu,"[12,40)",66430,430026575
KEN,2030,Kisumu,"[40,80)",4858,92498300
KEN,2030,Kisumu,"[80,120)",880,30521665
KEN,2030,Kisumu,"[120,Inf)",729,68394795
KEN,2030,Mombasa,"[0,12)",1173320,1960559175
KEN,2030,Mombasa,"[12,40)",596935,4357096980
KEN,2030,Mombasa,"[40,80)",89406,1709701245
KEN,2030,Mombasa,"[80,120)",16234,562385795
KEN,2030,Mombasa,"[120,Inf)",12793,1169285165
KEN,2030,Nairobi,"[0,12)",4815622,7638478370
KEN,2030,Nairobi,"[12,40)",1913732,13505480705
KEN,2030,Nairobi,"[40,80)",228294,4350631735
KEN,2030,Nairobi,"[80,120)",40744,1409766875
KEN,2030,Nairobi,"[120,Inf)",32499,2988916745
KEN,2030,Nakuru,"[0,12)",359650,585336995
KEN,2030,Nakuru,"[12,40)",161770,1160371135
KEN,2030,Nakuru,"[40,80)",21523,410965910
KEN,2030,Nakuru,"[80,120)",3832,132845400
KEN,2030,Nakuru,"[120,Inf)",3058,280413075
KEN,2030,Residual_KEN,"[0,12)",31239741,51624681295
KEN,2030,Residual_KEN,"[12,40)",15101191,109417124195
KEN,2030,Residual_KEN,"[40,80)",2148358,41049397595
KEN,2030,Residual_KEN,"[80,120)",389098,13491499015
KEN,2030,Residual_KEN,"[120,Inf)",304850,27978200825
KEN,2030,Ruiru,"[0,12)",385385,629529370
KEN,2030,Ruiru,"[12,40)",176380,1268166585
KEN,2030,Ruiru,"[40,80)",23841,455210115
KEN,2030,Ruiru,"[80,120)",4263,147635565
KEN,2030,Ruiru,"[120,Inf)",3392,310844950
NGA,2023,Aba,"[0,12)",1143960,1109588685
NGA,2023,Aba,"[12,40)",49919,306914265
NGA,2023,Aba,"[40,80)",2736,51986950
NGA,2023,Aba,"[80,120)",477,16638160
NGA,2023,Aba,"[120,Inf)",365,32856935
NGA,2023,Abakaliki,"[0,12)",646704,507502570
NGA,2023,Abakaliki,"[12,40)",14873,91494550
NGA,2023,Abakaliki,"[40,80)",807,15407015
NGA,2023,Abakaliki,"[80,120)",162,5763350
NGA,2023,Abakaliki,"[120,Inf)",104,9849160
NGA,2023,Abeokuta,"[0,12)",543262,577163915
NGA,2023,Abeokuta,"[12,40)",32149,198444660
NGA,2023,Abeokuta,"[40,80)",1751,33405895
NGA,2023,Abeokuta,"[80,120)",307,10866415
NGA,2023,Abeokuta,"[120,Inf)",221,20315535
NGA,2023,Abuja,"[0,12)",2335198,4139990600
NGA,2023,Abuja,"[12,40)",1283206,9303395940
NGA,2023,Abuja,"[40,80)",170777,3243790405
NGA,2023,Abuja,"[80,120)",27897,964580755
NGA,2023,Abuja,"[120,Inf)",19985,1712943905
NGA,2023,Ado-Ekiti,"[0,12)",523377,435268340
NGA,2023,Ado-Ekiti,"[12,40)",14226,87340120
NGA,2023,Ado-Ekiti,"[40,80)",801,15370150
NGA,2023,Ado-Ekiti,"[80,120)",118,4087270
NGA,2023,Ado-Ekiti,"[120,Inf)",118,10179485
NGA,2023,Akure,"[0,12)",716970,679037970
NGA,2023,Akure,"[12,40)",28988,178069630
NGA,2023,Akure,"[40,80)",1603,30479690
NGA,2023,Akure,"[80,120)",289,10278400
NGA,2023,Akure,"[120,Inf)",197,18451480
NGA,2023,Bauchi,"[0,12)",606339,748866485
NGA,2023,Bauchi,"[12,40)",62403,390048490
NGA,2023,Bauchi,"[40,80)",3561,67590335
NGA,2023,Bauchi,"[80,120)",600,20898075
NGA,2023,Bauchi,"[120,Inf)",452,40417545
NGA,2023,Benin City,"[0,12)",1701532,2175000690
NGA,2023,Benin City,"[12,40)",200995,1262988695
NGA,2023,Benin City,"[40,80)",11621,219754090
NGA,2023,Benin City,"[80,120)",1977,67914455
NGA,2023,Benin City,"[120,Inf)",1535,134133485
NGA,2023,Birnin Kebbi,"[0,12)",382673,436497295
NGA,2023,Birnin Kebbi,"[12,40)",29138,180618790
NGA,2023,Birnin Kebbi,"[40,80)",1602,30364350
NGA,2023,Birnin Kebbi,"[80,120)",273,9429775
NGA,2023,Birnin Kebbi,"[120,Inf)",218,19110670
NGA,2023,Calabar,"[0,12)",590234,739788935
NGA,2023,Calabar,"[12,40)",64434,403688905
NGA,2023,Calabar,"[40,80)",3668,69405845
NGA,2023,Calabar,"[80,120)",641,22142360
NGA,2023,Calabar,"[120,Inf)",475,42144360
NGA,2023,Effon Alaiye,"[0,12)",425449,174524750
NGA,2023,Effon Alaiye,"[12,40)",1877,11659925
NGA,2023,Effon Alaiye,"[40,80)",112,2162990
NGA,2023,Effon Alaiye,"[80,120)",5,137970
NGA,2023,Effon Alaiye,"[120,Inf)",33,2115905
NGA,2023,Enugu,"[0,12)",606028,988716015
NGA,2023,Enugu,"[12,40)",221027,1515615780
